time,date,hour,temperature_2m,precipitation,cloud_cover,wind_speed_10m,is_holiday,is_vacation,has_event
2023-10-10 20:00:00,2023-10-10,20,19.3,0.0,0,11.3,0.0,0,0
2023-10-10 21:00:00,2023-10-10,21,18.7,0.0,0,11.9,0.0,0,0
2023-10-10 22:00:00,2023-10-10,22,18.1,0.0,0,11.8,0.0,0,0
2023-10-10 23:00:00,2023-10-10,23,17.5,0.0,0,11.0,0.0,0,0
2023-10-11 00:00:00,2023-10-11,0,16.8,0.0,0,9.7,0.0,0,0
2023-10-11 01:00:00,2023-10-11,1,16.7,0.0,0,9.5,0.0,0,0
2023-10-11 02:00:00,2023-10-11,2,15.9,0.0,0,9.0,0.0,0,0
2023-10-11 03:00:00,2023-10-11,3,15.2,0.0,0,8.5,0.0,0,0
2023-10-11 04:00:00,2023-10-11,4,14.5,0.0,0,8.3,0.0,0,0
2023-10-11 05:00:00,2023-10-11,5,13.7,0.0,0,8.0,0.0,0,0
2023-10-11 06:00:00,2023-10-11,6,12.8,0.0,0,8.3,0.0,0,0
2023-10-11 07:00:00,2023-10-11,7,12.3,0.0,36,7.4,0.0,0,0
2023-10-11 08:00:00,2023-10-11,8,13.7,0.0,3,10.5,0.0,0,0
2023-10-11 09:00:00,2023-10-11,9,16.1,0.0,0,8.8,0.0,0,0
2023-10-11 10:00:00,2023-10-11,10,18.5,0.0,39,9.6,0.0,0,0
2023-10-11 11:00:00,2023-10-11,11,21.0,0.0,9,11.6,0.0,0,0
2023-10-11 12:00:00,2023-10-11,12,23.1,0.0,73,13.4,0.0,0,0
2023-10-11 13:00:00,2023-10-11,13,23.9,0.0,97,17.1,0.0,0,0
2023-10-11 14:00:00,2023-10-11,14,24.5,0.0,100,18.0,0.0,0,0
2023-10-11 15:00:00,2023-10-11,15,24.8,0.0,92,18.0,0.0,0,0
2023-10-11 16:00:00,2023-10-11,16,24.6,0.0,94,17.8,0.0,0,0
2023-10-11 17:00:00,2023-10-11,17,23.6,0.0,99,14.6,0.0,0,0
2023-10-11 18:00:00,2023-10-11,18,21.8,0.0,97,14.0,0.0,0,0
2023-10-11 19:00:00,2023-10-11,19,20.7,0.0,98,13.8,0.0,0,0
2023-10-11 20:00:00,2023-10-11,20,20.1,0.0,100,12.5,0.0,0,0
2023-10-11 21:00:00,2023-10-11,21,19.3,0.0,100,10.2,0.0,0,0
2023-10-11 22:00:00,2023-10-11,22,19.3,0.0,100,9.7,0.0,0,0
2023-10-11 23:00:00,2023-10-11,23,19.2,0.0,52,12.5,0.0,0,0
2023-10-12 00:00:00,2023-10-12,0,18.5,0.0,45,13.0,0.0,0,0
2023-10-12 01:00:00,2023-10-12,1,18.4,0.0,98,12.4,0.0,0,0
2023-10-12 02:00:00,2023-10-12,2,17.5,0.0,100,10.3,0.0,0,0
2023-10-12 03:00:00,2023-10-12,3,18.2,0.0,100,9.9,0.0,0,0
2023-10-12 04:00:00,2023-10-12,4,18.3,0.0,100,12.1,0.0,0,0
2023-10-12 05:00:00,2023-10-12,5,18.2,0.0,100,11.9,0.0,0,0
2023-10-12 06:00:00,2023-10-12,6,17.2,0.0,100,6.9,0.0,0,0
2023-10-12 07:00:00,2023-10-12,7,17.1,0.7,100,13.3,0.0,0,0
2023-10-12 08:00:00,2023-10-12,8,16.5,3.5,100,13.4,0.0,0,0
2023-10-12 09:00:00,2023-10-12,9,17.5,0.0,100,12.9,0.0,0,0
2023-10-12 10:00:00,2023-10-12,10,19.5,0.0,100,14.4,0.0,0,0
2023-10-12 11:00:00,2023-10-12,11,20.9,0.0,100,16.5,0.0,0,0
2023-10-12 12:00:00,2023-10-12,12,22.3,0.0,100,20.8,0.0,0,0
2023-10-12 13:00:00,2023-10-12,13,19.8,0.0,100,12.5,0.0,0,0
2023-10-12 14:00:00,2023-10-12,14,20.5,0.6,100,16.3,0.0,0,0
2023-10-12 15:00:00,2023-10-12,15,21.7,0.1,100,18.7,0.0,0,0
2023-10-12 16:00:00,2023-10-12,16,22.1,0.1,100,16.6,0.0,0,0
2023-10-12 17:00:00,2023-10-12,17,21.7,0.0,100,12.1,0.0,0,0
2023-10-12 18:00:00,2023-10-12,18,20.9,0.0,100,9.4,0.0,0,0
2023-10-12 19:00:00,2023-10-12,19,19.8,0.0,100,9.6,0.0,0,0
2023-10-12 20:00:00,2023-10-12,20,19.5,0.0,65,10.5,0.0,0,0
2023-10-12 21:00:00,2023-10-12,21,18.8,0.0,88,11.6,0.0,0,0
2023-10-12 22:00:00,2023-10-12,22,18.3,0.0,95,11.0,0.0,0,0
2023-10-12 23:00:00,2023-10-12,23,18.0,0.0,100,11.1,0.0,0,0
2023-10-13 00:00:00,2023-10-13,0,18.0,0.0,100,11.6,0.0,0,0
2023-10-13 01:00:00,2023-10-13,1,18.7,0.0,100,8.0,0.0,0,0
2023-10-13 02:00:00,2023-10-13,2,18.8,0.0,100,13.7,0.0,0,0
2023-10-13 03:00:00,2023-10-13,3,18.5,0.0,100,14.4,0.0,0,0
2023-10-13 04:00:00,2023-10-13,4,18.4,0.0,96,16.0,0.0,0,0
2023-10-13 05:00:00,2023-10-13,5,17.8,0.0,88,17.5,0.0,0,0
2023-10-13 06:00:00,2023-10-13,6,17.3,0.0,99,16.2,0.0,0,0
2023-10-13 07:00:00,2023-10-13,7,17.8,0.0,95,15.6,0.0,0,0
2023-10-13 08:00:00,2023-10-13,8,18.2,0.0,54,20.8,0.0,0,0
2023-10-13 09:00:00,2023-10-13,9,20.0,0.0,18,22.5,0.0,0,0
2023-10-13 10:00:00,2023-10-13,10,21.8,0.0,3,20.9,0.0,0,0
2023-10-13 11:00:00,2023-10-13,11,23.8,0.0,6,22.7,0.0,0,0
2023-10-13 12:00:00,2023-10-13,12,25.2,0.0,1,26.4,0.0,0,0
2023-10-13 13:00:00,2023-10-13,13,25.1,0.0,33,23.1,0.0,0,0
2023-10-13 14:00:00,2023-10-13,14,24.8,0.0,100,21.5,0.0,0,0
2023-10-13 15:00:00,2023-10-13,15,24.6,0.0,100,23.0,0.0,0,0
2023-10-13 16:00:00,2023-10-13,16,24.2,0.0,100,22.1,0.0,0,0
2023-10-13 17:00:00,2023-10-13,17,23.8,0.0,100,25.9,0.0,0,0
2023-10-13 18:00:00,2023-10-13,18,23.5,0.0,100,28.7,0.0,0,0
2023-10-13 19:00:00,2023-10-13,19,22.8,0.0,100,30.7,0.0,0,0
2023-10-13 20:00:00,2023-10-13,20,21.2,0.0,100,31.6,0.0,0,0
2023-10-13 21:00:00,2023-10-13,21,20.3,0.0,88,29.8,0.0,0,0
2023-10-13 22:00:00,2023-10-13,22,19.4,0.0,100,30.8,0.0,0,0
